lon,lat,elevation,slope,aspect,landcover_class,mean_rainfall,24H_rain,ndvi
-118.55105127908777,44.39498941564189,3053,20.42,237.13,10,11.31,82.0,0.08
-115.10547239722437,43.948273504276486,1450,45.47,58.66,30,17.89,71.3,0.009
-110.143495458894,40.978999788110855,1008,40.5,25.4,30,12.54,47.0,-0.006
-117.57944728488499,44.21874235023117,2170,20.18,231.27,10,15.93,100.3,0.211
-113.27864452594122,35.8849250205192,3308,34.32,9.54,30,10.33,48.2,0.022
-112.38380384671282,36.95982862419145,2588,43.58,210.88,30,8.61,42.7,0.3
-117.62362456007601,35.45227288910538,2210,46.2,338.48,20,10.15,61.0,-0.058
-112.71783651388141,38.25330330763264,791,50.14,207.17,30,14.19,43.4,0.3
-116.32216867280746,38.88677289689482,2345,52.12,139.74,40,15.65,65.4,0.171
-113.67694169406421,37.71349031773896,3470,33.75,231.58,10,13.32,59.0,0.14
-113.66470289239105,43.287375091519294,920,30.0,164.97,20,13.45,55.2,0.096
-114.64225315925242,38.5675332669359,2054,57.78,196.42,20,8.73,41.8,0.19
-119.09710229945591,37.809345096873805,3132,48.32,338.93,40,16.82,48.5,0.146
-111.64697504410762,40.426960831582484,2722,37.52,139.0,10,15.99,75.1,0.26
-116.79219935028264,36.40924224974763,2591,29.88,346.03,10,15.22,120.0,0.161
-118.13481489600146,43.0219698075404,2607,46.16,325.93,20,12.23,40.4,0.165
-119.59224858445236,35.74550643679771,1578,56.79,70.48,30,14.82,62.0,0.114
-114.09107056811759,44.86886936600517,1380,24.28,24.97,20,16.17,125.0,0.144
-113.22435638157718,42.722447692966576,2928,23.84,36.28,10,7.22,76.6,0.181
-119.83412171072143,36.98715681534173,2930,62.55,6.56,40,16.07,70.9,-0.021
-114.87906941700719,35.05522117123603,3101,42.51,34.0,20,15.44,46.7,0.015
-117.73504224802062,43.154614284548344,3239,54.72,245.88,10,17.89,71.4,0.224
-113.5482720959055,42.06857343847617,2034,26.8,25.63,20,14.58,94.7,0.167
-118.25633570995008,42.29007168040987,2004,58.69,114.83,30,7.39,23.9,0.132
-113.09062261897535,42.71270346685946,2894,35.35,304.16,20,6.94,27.4,0.152
-116.13264653699463,35.74044651734091,2449,51.86,8.38,20,13.46,61.0,0.185
-110.63270011263265,38.584657285442724,2605,55.58,293.21,10,14.42,65.2,0.096
-118.62479055854007,36.1586905952513,2887,30.0,101.47,10,13.18,41.9,0.072
-116.58933648949741,43.63103425875593,3170,33.17,42.54,10,12.01,72.8,0.17
-118.86526478759411,41.23298126827558,1513,30.0,250.83,20,11.88,26.8,0.052
-110.75306381721437,38.308980248526495,1626,42.31,226.42,30,13.07,58.7,0.191
-111.22660646619019,35.635583502860236,781,22.18,315.89,40,9.26,85.8,-0.02
-117.42058372284845,38.109823217156624,2234,60.02,264.63,40,9.68,47.0,0.253
-113.4001595396582,38.25183322026747,607,29.5,289.25,10,10.4,110.9,0.197
-111.82777799798784,42.29606178338064,1896,61.29,101.53,10,12.76,42.8,0.176
-114.44799188400538,41.37557471355213,2127,31.2,63.88,20,12.62,52.3,0.248
-114.70349421643994,43.87212742576327,1359,30.0,270.22,40,13.87,80.1,0.3
-117.58147709099548,39.72214925161949,2272,44.44,290.46,10,9.33,48.5,0.251
-119.068972321941,36.19594245938302,591,48.84,356.58,30,15.29,76.7,-0.034
-111.02784242046673,42.132447872229946,612,44.67,148.54,30,13.68,37.4,0.022
-110.9958194283667,42.60785048616897,2967,30.0,133.93,10,14.57,70.6,0.088
-113.66898542726732,40.61277197569496,1580,44.11,279.51,10,14.68,88.8,0.153
-116.609702089513,42.70967179954561,881,31.96,122.69,40,7.37,20.0,0.202
-116.50790425387339,39.93795596364391,2066,51.7,335.07,40,10.75,44.1,0.077
-112.7404432112976,40.22732829381994,2809,48.67,309.03,20,9.83,71.5,0.169
-111.02889740047422,39.27541018358549,1147,35.6,154.44,40,12.88,55.9,0.074
-111.12913575734882,35.25419126744095,2368,39.86,270.31,30,14.17,67.4,0.089
-112.20124454142376,36.078914269933044,756,34.41,271.64,30,13.24,47.9,0.009
